index,prediction
35042,163 millilitre
35043,20 millimetre
35044,20 millimetre
35045,20 millimetre
35046,20 millimetre
35047,4.8 centimetre
35048,7.3 centimetre
35049,7.3 centimetre
35050,135 centimetre
35051,135 centimetre
35052,0.63 inch
35053,220 pound
35054,506 millimetre
35055,5.43 inch
35056,6.0 ounce
35057,
35058,
35059,9.65 metre
35060,12000 metre
35061,12000 metre
35062,
35063,70010 millimetre
35064,70010 millimetre
35065,7.2 foot
35066,7.2 foot
35067,40 centimetre
35068,40 centimetre
35069,71 centimetre
35070,71 centimetre
35071,7 centimetre
35072,7 centimetre
35073,
35074,
35075,50 centimetre
35076,
35077,16.75 pound
35078,
35079,2.44 inch
35080,2.44 inch
35081,2.44 inch
35082,
35083,7.5 centimetre
35084,7.5 centimetre
35085,
35086,3.1 centimetre
35087,4 inch
35088,4 inch
35089,4 inch
35090,265 pound
35091,4.5 inch
35092,5 inch
35093,5 inch
35094,5 inch
35095,
35096,
35097,8.5 centimetre
35098,
35099,
35100,37.6 centimetre
35101,16.9 inch
35102,0.54 kilogram
35103,
35104,
35105,
35106,15.4 centimetre
35107,30 centimetre
35108,
35109,
35110,24 centimetre
35111,3 metre
35112,3 metre
35113,3.9 inch
35114,9.5 inch
35115,9.5 inch
35116,55 millimetre
35117,11 centimetre
35118,
35119,
35120,6 centimetre
35121,70 millimetre
35122,70 millimetre
35123,210 centimetre
35124,210 centimetre
35125,
35126,
35127,
35128,
35129,
35130,
35131,
35132,53 gram
35133,28 centimetre
35134,4 millimetre
35135,10 centimetre
35136,10 centimetre
35137,7 centimetre
35138,10 centimetre
35139,6.6 inch
35140,43 gram
35141,5 millimetre
35142,
35143,
35144,
35145,284 millilitre
35146,8.58 inch
35147,8.58 inch
35148,8 centimetre
35149,8 centimetre
35150,7 metre
35151,7 metre
35152,377 millimetre
35153,50 centimetre
35154,50 centimetre
35155,110 millimetre
35156,110 millimetre
35157,110 millimetre
35158,37 centimetre
35159,2 centimetre
35160,2.9 inch
35161,18.5 centimetre
35162,2020 ton
35163,30 centimetre
35164,30 centimetre
35165,3 ton
35166,89 centimetre
35167,
35168,
35169,19 centimetre
35170,19 centimetre
35171,13 centimetre
35172,13 centimetre
35173,
35174,38 centimetre
35175,330 pound
35176,
35177,3.2 centimetre
35178,45 centimetre
35179,45 centimetre
35180,35 pound
35181,55 millimetre
35182,55 millimetre
35183,55 millimetre
35184,
35185,
35186,320 millimetre
35187,320 millimetre
35188,24 centimetre
35189,24 centimetre
35190,36 millimetre
35191,36 millimetre
35192,55 gram
35193,150 centimetre
35194,20.8 centimetre
35195,20.8 centimetre
35196,14 centimetre
35197,139.7 centimetre
35198,1000 metre
35199,10 ton
35200,3 inch
35201,3.9 inch
35202,3.9 inch
35203,3.9 inch
35204,22 millimetre
35205,122 centimetre
35206,15.36 inch
35207,15.36 inch
35208,
35209,
35210,
35211,3.4 centimetre
35212,44 centimetre
35213,13 centimetre
35214,13 centimetre
35215,8.5 centimetre
35216,8.5 centimetre
35217,
35218,6 inch
35219,6 inch
35220,
35221,
35222,12 volt
35223,90 centimetre
35224,9 centimetre
35225,9 centimetre
35226,9 centimetre
35227,35.4 inch
35228,35.4 inch
35229,1.75 inch
35230,1.75 inch
35231,73.66 centimetre
35232,23 centimetre
35233,23 centimetre
35234,23 centimetre
35235,39.5 centimetre
35236,
35237,23 millimetre
35238,23 millimetre
35239,290 millimetre
35240,5.11 inch
35241,5.11 inch
35242,6.5 centimetre
35243,31.5 inch
35244,20 inch
35245,12.5 centimetre
35246,12.5 centimetre
35247,
35248,4 centimetre
35249,16 centimetre
35250,39.52 centimetre
35251,28.5 centimetre
35252,28.5 centimetre
35253,226 millimetre
35254,3.77 inch
35255,21.2 centimetre
35256,21.2 centimetre
35257,40.5 centimetre
35258,26 millimetre
35259,
35260,
35261,
35262,2.2 inch
35263,2.2 inch
35264,162 gram
35265,22 centimetre
35266,
35267,
35268,12.5 inch
35269,12.5 inch
35270,5.12 inch
35271,5.12 inch
