index,prediction
105076,175 millimetre
105077,100 gram
105078,
105079,3.66 inch
105080,2.04 inch
105081,12 centimetre
105082,18 centimetre
105083,
105084,5.1 inch
105085,8.8 pound
105086,6.29 inch
105087,320 millimetre
105088,116.5 centimetre
105089,116.5 centimetre
105090,116.5 centimetre
105091,560 millimetre
105092,150 centimetre
105093,20 centimetre
105094,20 centimetre
105095,20 centimetre
105096,8.2 centimetre
105097,8.2 centimetre
105098,62 millimetre
105099,62 millimetre
105100,
105101,
105102,18.11 inch
105103,152 centimetre
105104,152 centimetre
105105,2.48 inch
105106,2.48 inch
105107,170 centimetre
105108,170 centimetre
105109,67 inch
105110,60 millimetre
105111,4.5 inch
105112,4.5 inch
105113,1.7 inch
105114,3.9 centimetre
105115,34 centimetre
105116,6.5 centimetre
105117,25 centimetre
105118,20 centimetre
105119,20 centimetre
105120,9 centimetre
105121,5 centimetre
105122,5 centimetre
105123,5 centimetre
105124,
105125,
105126,
105127,
105128,4.7 inch
105129,116 millimetre
105130,116 millimetre
105131,116 millimetre
105132,5 centimetre
105133,20 pound
105134,60 centimetre
105135,
105136,12 inch
105137,9 millimetre
105138,11.5 inch
105139,10 centimetre
105140,0.98 inch
105141,74 centimetre
105142,9.5 centimetre
105143,18.3 centimetre
105144,5.91 inch
105145,
105146,4 inch
105147,
105148,25 centimetre
105149,25 centimetre
105150,25 centimetre
105151,
105152,
105153,
105154,38 millimetre
105155,
105156,10 inch
105157,
105158,
105159,
105160,60 centimetre
105161,
105162,8 centimetre
105163,
105164,150 centimetre
105165,
105166,
105167,6 millimetre
105168,6 millimetre
105169,6 millimetre
105170,30 millimetre
105171,30 millimetre
105172,30 millimetre
105173,140 centimetre
105174,140 centimetre
105175,60 centimetre
105176,60 centimetre
105177,60 centimetre
105178,54 millimetre
105179,
105180,73 centimetre
105181,73 centimetre
105182,8.6 centimetre
105183,35 centimetre
105184,1.2 inch
105185,1.2 inch
105186,1.2 inch
105187,
105188,
105189,37 centimetre
105190,10.83 inch
105191,10.83 inch
105192,30 centimetre
105193,30 centimetre
105194,15 centimetre
105195,17 centimetre
105196,23.7 centimetre
105197,23.7 centimetre
105198,56 centimetre
105199,
105200,30 centimetre
105201,30 centimetre
105202,
105203,
105204,
105205,15 centimetre
105206,8.27 inch
105207,6.3 inch
105208,6.3 inch
105209,1.6 inch
105210,1.6 inch
105211,4.2 centimetre
105212,4.2 centimetre
105213,14.9 centimetre
105214,14.9 centimetre
105215,38 centimetre
105216,38 centimetre
105217,38 centimetre
105218,17 millimetre
105219,17 millimetre
105220,
105221,
105222,8 centimetre
105223,4.3 inch
105224,4.3 inch
105225,35 centimetre
105226,112 millimetre
105227,3 centimetre
105228,3 centimetre
105229,
105230,2.4 metre
105231,2.4 metre
105232,57 millimetre
105233,
105234,70 pound
105235,43 centimetre
105236,20 centimetre
105237,11 centimetre
105238,11 centimetre
105239,7 centimetre
105240,7 centimetre
105241,7 centimetre
105242,14.56 inch
105243,14.56 inch
105244,10 centimetre
105245,12.8 inch
105246,4.5 inch
105247,62 millimetre
105248,62 millimetre
105249,62 millimetre
105250,15.5 centimetre
105251,11.8 inch
105252,
105253,27.4 inch
105254,27.4 inch
105255,2.76 inch
105256,
105257,
105258,8.5 centimetre
105259,8.5 centimetre
105260,3.34 inch
105261,
105262,
105263,
105264,13 centimetre
105265,72 inch
105266,72 inch
105267,5.7 inch
105268,5.7 inch
105269,5.7 inch
105270,60 centimetre
105271,63 millimetre
105272,9.05 inch
105273,9.05 inch
105274,100 centimetre
105275,100 centimetre
105276,
105277,
105278,
105279,3.5 inch
105280,14 inch
105281,9 centimetre
105282,50 centimetre
105283,
105284,4.33 inch
105285,24 centimetre
105286,24 centimetre
105287,40 centimetre
105288,60 centimetre
105289,60 centimetre
105290,5.3 centimetre
105291,
105292,
105293,
105294,53 centimetre
105295,2.9 inch
105296,100 centimetre
105297,100 centimetre
105298,14 centimetre
105299,4.33 inch
105300,9.7 centimetre
105301,
105302,
105303,
105304,78 centimetre
105305,1 metre
105306,1 metre
105307,1 metre
105308,140 millimetre
105309,
105310,250 kilogram
105311,250 kilogram
105312,16 centimetre
105313,150 millimetre
105314,150 millimetre
105315,
105316,
105317,
105318,
105319,162 millimetre
105320,4 inch
105321,4 centimetre
105322,4 centimetre
105323,100 centimetre
105324,26.77 metre
105325,14 centimetre
105326,14 centimetre
105327,4.5 inch
105328,4.5 inch
105329,4.5 inch
105330,1.57 inch
105331,1.57 inch
105332,
105333,
105334,
105335,30 centimetre
105336,42 centimetre
105337,42 centimetre
105338,7 inch
105339,7 inch
105340,
105341,
105342,
105343,25 gram
105344,40.7 centimetre
105345,1.5 inch
105346,
105347,
105348,
105349,
105350,6.2 inch
105351,20 inch
105352,20 inch
105353,20 inch
105354,00 gram
